"bike_id","start_time","end_time","start_station_id","end_station_id","user_type","rental_access_method","bike_share_for_all_trip"
12904,"2019-09-30 11:48:02.71","2019-10-01 04:42:25.864",465,465,"Customer",NULL,"No"
163,"2019-09-30 16:16:32.353","2019-10-01 02:16:51.982",294,443,"Customer",NULL,"No"
10737,"2019-09-30 23:12:25.998","2019-10-01 00:46:01.959",370,4,"Customer",NULL,"No"
10346,"2019-09-30 23:57:34.663","2019-10-01 00:22:16.849",109,460,"Customer",NULL,"No"
1349,"2019-09-30 23:53:28.653","2019-10-01 00:14:41.074",95,127,"Subscriber",NULL,"No"
9806,"2019-09-30 21:43:51.014","2019-10-01 00:07:59.893",11,3,"Customer",NULL,"No"
9963,"2019-09-30 23:54:43.104","2019-10-01 00:05:27.656",15,91,"Subscriber",NULL,"No"
531,"2019-09-30 23:54:42.865","2019-10-01 00:02:22.363",321,77,"Subscriber",NULL,"No"
10906,"2019-09-30 23:49:31.705","2019-09-30 23:59:56.916",16,80,"Subscriber",NULL,"No"
11058,"2019-09-30 23:39:34.088","2019-09-30 23:59:11.209",433,139,"Customer",NULL,"No"
2750,"2019-09-30 23:45:14.434","2019-09-30 23:51:13.455",273,273,"Customer",NULL,"No"
12415,"2019-09-30 23:45:48.34","2019-09-30 23:49:27.25",59,88,"Subscriber",NULL,"Yes"
12980,"2019-09-30 23:40:50.964","2019-09-30 23:48:42.491",247,262,"Subscriber",NULL,"No"
223,"2019-09-30 23:45:59.462","2019-09-30 23:48:25.959",190,315,"Subscriber",NULL,"No"
12695,"2019-09-30 23:30:05.07","2019-09-30 23:43:48.631",315,169,"Subscriber",NULL,"No"
12010,"2019-09-30 23:29:38.262","2019-09-30 23:43:47.534",315,169,"Subscriber",NULL,"No"
1715,"2019-09-30 23:35:17.698","2019-09-30 23:39:18.677",182,195,"Subscriber",NULL,"No"
386,"2019-09-30 23:29:24.032","2019-09-30 23:38:38.764",240,18,"Subscriber",NULL,"No"
10718,"2019-09-30 23:29:41.009","2019-09-30 23:37:30.566",61,115,"Subscriber",NULL,"No"
9980,"2019-09-30 23:34:20.172","2019-09-30 23:37:02.545",13,11,"Subscriber",NULL,"No"
11783,"2019-09-30 23:22:57.863","2019-09-30 23:36:30.763",385,249,"Subscriber",NULL,"No"
12209,"2019-09-30 23:28:50.292","2019-09-30 23:35:46.06",115,113,"Subscriber",NULL,"No"
405,"2019-09-30 23:12:56.693","2019-09-30 23:30:16.811",105,126,"Subscriber",NULL,"No"
12106,"2019-09-30 22:41:04.043","2019-09-30 23:30:12.722",26,6,"Subscriber",NULL,"No"
10179,"2019-09-30 23:16:32.731","2019-09-30 23:29:51.015",90,386,"Subscriber",NULL,"No"
12347,"2019-09-30 23:25:37.414","2019-09-30 23:29:31.295",364,104,"Customer",NULL,"No"
3647,"2019-09-30 23:22:01.113","2019-09-30 23:28:51.188",3,3,"Customer",NULL,"No"
11695,"2019-09-30 23:20:34.04","2019-09-30 23:28:48.49",75,285,"Subscriber",NULL,"No"
12135,"2019-09-30 23:01:18.981","2019-09-30 23:27:24.899",204,200,"Subscriber",NULL,"No"
1454,"2019-09-30 23:20:16.887","2019-09-30 23:25:30.403",114,64,"Subscriber",NULL,"No"
12047,"2019-09-30 23:17:03.036","2019-09-30 23:25:23.29",109,113,"Subscriber",NULL,"No"
9926,"2019-09-30 23:10:45.526","2019-09-30 23:23:36.595",14,364,"Customer",NULL,"No"
637,"2019-09-30 23:09:18.953","2019-09-30 23:22:39.941",284,30,"Customer",NULL,"No"
12189,"2019-09-30 23:09:23.653","2019-09-30 23:21:25.748",426,282,"Customer",NULL,"No"
