"bike_id","start_date","month","start_time","end_time","ride_time","time_frame","user_type","start_station_id","station_name"
240,"2017-06-28",6,"09:47:36.347","09:54:41.187",7,"short","Subscriber",21,"Montgomery St BART Station (Market St at 2nd St)"
669,"2017-06-28",6,"09:47:41.664","09:53:47.715",6,"short","Subscriber",58,"Market St at 10th St"
117,"2017-06-28",6,"09:49:46.377","09:52:55.338",3,"short","Subscriber",25,"Howard St at 2nd St"
77,"2017-06-28",6,"09:50:59.175","10:11:00.359",20,"meduim","Subscriber",81,"Berry St at 4th St"
316,"2017-06-28",6,"09:56:39.631","10:03:51.09",7,"short","Subscriber",66,"3rd St at Townsend St"
605,"2017-06-28",6,"09:56:55.488","10:15:02.469",18,"meduim","Subscriber",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
272,"2017-06-28",6,"09:58:33.669","10:10:44.213",12,"meduim","Subscriber",23,"The Embarcadero at Steuart St"
400,"2017-06-28",6,"10:00:54.528","10:08:10.438",7,"short","Subscriber",81,"Berry St at 4th St"
212,"2017-06-28",6,"10:00:59.041","10:10:49.486",9,"short","Subscriber",66,"3rd St at Townsend St"
915,"2017-06-28",6,"10:09:06.498","10:18:20.411",9,"short","Subscriber",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
331,"2017-06-28",6,"10:11:26.829","10:22:07.518",10,"short","Subscriber",66,"3rd St at Townsend St"
106,"2017-06-28",6,"10:12:30.208","10:53:02.105",40,"long","Subscriber",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
200,"2017-06-28",6,"10:12:57.907","10:27:47.444",14,"meduim","Subscriber",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
122,"2017-06-28",6,"10:13:23.32","10:45:12.7",31,"long","Subscriber",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
248,"2017-06-28",6,"10:13:24.229","10:45:12.5",31,"long","Subscriber",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
196,"2017-06-28",6,"10:14:11.41","10:21:01.58",6,"short","Subscriber",11,"Davis St at Jackson St"
20,"2017-06-28",6,"10:16:16.575","10:20:55.077",4,"short","Subscriber",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
21,"2017-06-28",6,"10:16:30.606","10:53:38",37,"long","Subscriber",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
118,"2017-06-28",6,"10:16:48.231","10:55:57.28",39,"long","Customer",28,"The Embarcadero at Bryant St"
330,"2017-06-28",6,"10:17:41.989","10:25:48.804",8,"short","Subscriber",28,"The Embarcadero at Bryant St"
423,"2017-06-28",6,"10:17:46.556","10:26:16.648",8,"short","Subscriber",17,"Embarcadero BART Station (Beale St at Market St)"
373,"2017-06-28",6,"10:18:36.598","10:30:37.527",12,"meduim","Subscriber",17,"Embarcadero BART Station (Beale St at Market St)"
1050,"2017-06-28",6,"10:19:03.681","11:08:14.413",49,"long","Subscriber",17,"Embarcadero BART Station (Beale St at Market St)"
371,"2017-06-28",6,"10:19:28.884","10:38:25.287",18,"meduim","Subscriber",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
332,"2017-06-28",6,"10:21:47.84","10:29:52.298",8,"short","Subscriber",81,"Berry St at 4th St"
1034,"2017-06-28",6,"10:22:05.932","10:35:23.631",13,"meduim","Subscriber",17,"Embarcadero BART Station (Beale St at Market St)"
196,"2017-06-28",6,"10:26:50.456","10:41:43.469",14,"meduim","Subscriber",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
331,"2017-06-28",6,"10:30:41.191","10:36:02.981",5,"short","Subscriber",21,"Montgomery St BART Station (Market St at 2nd St)"
766,"2017-06-28",6,"10:32:04.391","10:43:16.966",11,"meduim","Subscriber",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
823,"2017-06-28",6,"10:32:52.865","10:42:55.042",10,"short","Subscriber",26,"1st St at Folsom St"
200,"2017-06-28",6,"10:33:51.414","10:38:19.465",4,"short","Subscriber",23,"The Embarcadero at Steuart St"
241,"2017-06-28",6,"10:38:20.912","10:49:23.882",11,"meduim","Subscriber",62,"Victoria Manalo Draves Park"
278,"2017-06-28",6,"10:44:17.05","10:45:30.337",1,"short","Subscriber",50,"2nd St at Townsend St"
920,"2017-06-28",6,"10:45:45.282","10:47:49.158",2,"short","Subscriber",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
708,"2017-06-28",6,"10:47:24.663","10:53:39.275",6,"short","Subscriber",6,"The Embarcadero at Sansome St"
859,"2017-06-28",6,"10:47:30.375","10:58:11.907",10,"short","Subscriber",42,"San Francisco City Hall (Polk St at Grove St)"
122,"2017-06-28",6,"10:47:30.618","10:57:46.565",10,"short","Subscriber",42,"San Francisco City Hall (Polk St at Grove St)"
1048,"2017-06-28",6,"10:48:17.405","10:50:22.176",2,"short","Subscriber",10,"Washington St at Kearny St"
962,"2017-06-28",6,"10:49:42.928","11:07:49.776",18,"meduim","Subscriber",42,"San Francisco City Hall (Polk St at Grove St)"
700,"2017-06-28",6,"10:51:23.182","11:04:17.848",12,"meduim","Subscriber",42,"San Francisco City Hall (Polk St at Grove St)"
892,"2017-06-28",6,"10:52:26.952","11:00:05.392",7,"short","Subscriber",42,"San Francisco City Hall (Polk St at Grove St)"
25,"2017-06-28",6,"10:52:55.763","10:54:08.29",1,"short","Subscriber",42,"San Francisco City Hall (Polk St at Grove St)"
824,"2017-06-28",6,"10:54:47.314","11:01:39.557",6,"short","Subscriber",42,"San Francisco City Hall (Polk St at Grove St)"
920,"2017-06-28",6,"10:54:52.463","11:24:30.533",29,"meduim","Customer",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
809,"2017-06-28",6,"10:56:30.604","11:00:16.944",3,"short","Subscriber",42,"San Francisco City Hall (Polk St at Grove St)"
799,"2017-06-28",6,"10:56:53.364","11:00:27.965",3,"short","Subscriber",42,"San Francisco City Hall (Polk St at Grove St)"
