"id","latitude","longitude","name","docks"
10,37.795393,-122.40477,"Washington St at Kearny St",30
100,37.7671,-122.410662,"Bryant St at 15th St",19
101,37.767079,-122.407359,"15th St at Potrero Ave",26
102,37.766883,-122.399579,"Irwin St at 8th St",27
104,37.767045,-122.390833,"4th St at 16th St",34
105,37.764285,-122.431804,"16th St at Prosper St",18
106,37.763242,-122.430675,"Sanchez St at 17th St",17
107,37.763015,-122.426497,"17th St at Dolores St",21
108,37.76471,-122.419957,"16th St Mission BART",8
109,37.763316,-122.421904,"17th St at Valencia St",21
11,37.79728,-122.398436,"Davis St at Jackson St",34
110,37.763709,-122.415204,"17th & Folsom Street Park (17th St at Folsom St)",20
113,37.764555,-122.410345,"Franklin Square",19
114,37.764478,-122.40257,"Rhode Island St at 17th St",17
115,37.765026,-122.398773,"Jackson Playground",27
116,37.764802,-122.394771,"Mississippi St at 17th St",30
118,37.759177,-122.436943,"Eureka Valley Recreation Center",18
119,37.761047,-122.432642,"18th St at Noe St",15
12,37.796389,-122.394586,"Pier 1/2 at The Embarcadero",21
120,37.761421,-122.426435,"Mission Dolores Park",25
121,37.75921,-122.421339,"Mission Playground",19
122,37.760299,-122.418892,"19th St at Mission St",18
123,37.760594,-122.414817,"Folsom St at 19th St",18
124,37.760447,-122.410807,"19th St at Florida St",18
125,37.759201,-122.409851,"20th St at Bryant St",15
126,37.761634,-122.390648,"Esprit Park",27
127,37.756708,-122.421025,"Valencia St at 21st St",22
129,37.758862,-122.412544,"Harrison St at 20th St",19
13,37.794231,-122.402923,"Commercial St at Montgomery St",20
130,37.757704,-122.391885,"22nd St Caltrain Station",34
131,37.755,-122.425728,"22nd St at Dolores St",22
132,37.751819,-122.426614,"24th St at Chattanooga St",19
133,37.755213,-122.420975,"Valencia St at 22nd St",21
134,37.752428,-122.420628,"Valencia St at 24th St",22
137,37.750506,-122.43395,"Jersey St at Castro St",18
138,37.7509,-122.427411,"Jersey St at Church St",19
139,37.751017,-122.411901,"Garfield Square (25th St at Harrison St)",21
14,37.795001,-122.39997,"Clay St at Battery St",29
140,37.747858,-122.424986,"Cesar Chavez St at Dolores St",15
141,37.747998,-122.420219,"Valencia St at Cesar Chavez St",19
142,37.745739,-122.42214,"Guerrero Park",12
144,37.7473,-122.411403,"Precita Park",14
145,37.743684,-122.426806,"29th St at Church St",15
146,37.742314,-122.423181,"30th St at San Jose Ave",12
147,37.744067,-122.421472,"29th St at Tiffany Ave",17
148,37.829705,-122.28761,"Horton St at 40th St",23
149,37.831275,-122.285633,"Emeryville Town Hall",22
15,37.795392,-122.394203,"San Francisco Ferry Building (Harry Bridges Plaza)",36
150,37.831277,-122.278267,"Adeline St at 40th St",14
151,37.836182,-122.28718,"53rd St at Hollis St",23
152,37.835632,-122.281051,"47th St at San Pablo Ave",19
153,37.840945,-122.29136,"59th St at Horton St",19
154,37.841924,-122.288045,"Doyle St at 59th St",14
155,37.840521,-122.293528,"Emeryville Public Market",17
156,37.838444,-122.288665,"Stanford Ave at Hollis St",14
157,37.846784,-122.291376,"65th St at Hollis St",18
158,37.833279,-122.26349,"Shattuck Ave at Telegraph Ave",19
159,37.81606,-122.278244,"24th St at Market St",19
16,37.794497,-122.394838,"Market St at Steuart St",24
160,37.805318,-122.294837,"West Oakland BART Station",23
162,37.800516,-122.27208,"Franklin St at 9th St",27
163,37.79732,-122.26532,"Lake Merritt BART Station",27
164,37.814988,-122.274844,"Isabella St at San Pablo Ave",18
166,37.851376,-122.252523,"College Ave at Alcatraz Ave",15
167,37.848152,-122.25216,"College Ave at Harwood Ave",19
169,37.846516,-122.265304,"Bushrod Park",19
17,37.792251,-122.397086,"Embarcadero BART Station (Beale St at Market St)",27
170,37.844493,-122.261351,"Telegraph Ave at 58th St",15
171,37.844279,-122.2519,"Rockridge BART Station",24
172,37.8418,-122.251535,"College Ave at Taft Ave",15
173,37.840364,-122.264488,"Shattuck Ave at 55th St",14
174,37.836801,-122.264004,"Shattuck Ave at 51st St",19
175,37.835946,-122.262366,"49th St at Telegraph Ave",15
176,37.82841,-122.266315,"MacArthur BART Station",31
177,37.826286,-122.2651,"MacArthur Blvd at Telegraph Ave",19
178,37.819381,-122.261928,"Broadway at 30th St",19
179,37.816073,-122.267886,"Telegraph Ave at 27th St",19
18,37.850222,-122.260172,"Telegraph Ave at Alcatraz Ave",11
180,37.812678,-122.268773,"Telegraph Ave at 23rd St",19
181,37.811377,-122.265193,"Grand Ave at Webster St",25
182,37.809369,-122.267951,"19th Street BART Station",29
183,37.808702,-122.269927,"Telegraph Ave at 19th St",26
186,37.801319,-122.262642,"Lakeside Dr at 14th St",25
187,37.796248,-122.279352,"Jack London Square",27
188,37.84263,-122.267738,"Dover St at 57th St",15
189,37.839649,-122.271756,"Genoa St at 55th St",15
19,37.788975,-122.403452,"Post St at Kearny St",34
190,37.830223,-122.27095,"West St at 40th St",23
191,37.830545,-122.273937,"Market St at 40th St",15
192,37.826696,-122.271797,"37th St at West St",23
193,37.812744,-122.247215,"Grand Ave at Santa Clara Ave",18
194,37.811081,-122.243268,"Lakeshore Ave at Trestle Glen Rd",15
195,37.812314,-122.260779,"Bay Pl at Vernon St",23
196,37.808894,-122.25646,"Grand Ave at Perkins St",23
197,37.808848,-122.24968,"El Embarcadero at Grand Ave",21
198,37.807813,-122.264496,"Snow Park",31
20,37.7913,-122.399051,"Mechanics Monument Plaza (Market St at Bush St)",21
200,37.800214,-122.25381,"2nd Ave at E 18th St",19
201,37.797673,-122.262997,"10th St at Fallon St",23
202,37.800754,-122.274894,"Washington St at 8th St",27
203,37.795195,-122.27397,"Webster St at 2nd St",25
205,37.8388,-122.258732,"Miles Ave at Cavour St",19
206,37.838127,-122.251271,"College Ave at Bryant Ave",23
207,37.835788,-122.251621,"Broadway at Coronado Ave",22
208,37.3328,-121.88385,"4th St at San Carlos St",19
209,37.833558,-122.267418,"45th St at MLK Jr Way",19
21,37.789625,-122.400811,"Montgomery St BART Station (Market St at 2nd St)",37
211,37.827757,-122.256716,"Broadway at 40th St",23
212,37.824893,-122.260437,"Mosswood Park",31
213,37.823847,-122.281193,"32nd St at Adeline St",14
214,37.823321,-122.275733,"Market St at Brockhurst St",19
217,37.817015,-122.271762,"27th St at MLK Jr Way",16
218,37.812332,-122.285171,"DeFremery Park",15
22,37.789756,-122.394643,"Howard St at Beale St",26
220,37.811351,-122.273422,"San Pablo Ave at MLK Jr Way",18
221,37.794396,-122.253842,"6th Ave at E 12th St (Temporary Location)",15
222,37.792714,-122.24878,"10th Ave at E 15th St",15
223,37.764765,-122.420091,"16th St Mission BART Station 2",17
224,37.800459,-122.247459,"21st St at 5th Ave",23
225,37.785192,-122.234382,"23rd Ave at Foothill Blvd",15
